dateRef	dateAnlg
20160219	19550201
20160219	19550131
20160219	19550130
20160219	19550129
20160219	19550128
20160219	19550127
20160219	19550126
20160219	19550125
20160219	19550124
20160219	19550123
20160218	19550122
20160218	19550121
20160218	19550120
20160218	19550119
20160218	19550118
20160218	19550117
20160218	19550116
20160218	19550115
20160218	19550114
20160218	19550113
20000501	19840630
20000501	19840629
20000501	19840628
20000501	19840627
20000501	19840626
20000501	19840625
20000501	19840624
20000501	19840623
20000501	19840622
20000501	19840621
20000430	19840620
20000430	19840619
20000430	19840618
20000430	19840617
20000430	19840616
20000430	19840615
20000430	19840614
20000430	19840613
20000430	19840612
20000430	19840611
19900710	19681111
19900710	19681110
19900710	19681109
19900710	19681108
19900710	19681107
19900710	19681106
19900710	19681105
19900710	19681104
19900710	19681103
19900710	19681102
19900709	19681101
19900709	19681031
19900709	19681030
19900709	19681029
19900709	19681028
19900709	19681027
19900709	19681026
19900709	19681025
19900709	19681024
19900709	19681023
19700611	20060915
19700611	20060914
19700611	20060913
19700611	20060912
19700611	20060911
19700611	20060910
19700611	20060909
19700611	20060908
19700611	20060907
19700611	20060906
19700610	20060905
19700610	20060904
19700610	20060903
19700610	20060902
19700610	20060901
19700610	20060831
19700610	20060830
19700610	20060829
19700610	20060828
19700610	20060827
19500611	19730822
19500611	19730821
19500611	19730820
19500611	19730819
19500611	19730818
19500611	19730817
19500611	19730816
19500611	19730815
19500611	19730814
19500611	19730813
19500610	19730812
19500610	19730811
19500610	19730810
19500610	19730809
19500610	19730808
19500610	19730807
19500610	19730806
19500610	19730805
19500610	19730804
19500610	19730803
