dateRef	dateAnlg
20000102	20060110
20000102	19631229
20000102	20110116
20000102	19821225
20000102	19780106
20000102	19830101
20000102	19680119
20000102	20080124
20000102	20111222
20000102	19900115
20000102	20120118
20000102	19760107
20000102	19821231
20000102	19520106
20000102	19830102
20000102	19931203
20000102	19720122
20000102	20110117
20000102	20060109
20000102	19721210
20000103	20110116
20000103	20060110
20000103	19740124
20000103	20080124
20000103	19900115
20000103	19931204
20000103	19631229
20000103	19721210
20000103	19900116
20000103	19830101
20000103	19760107
20000103	20111222
20000103	20111223
20000103	19511219
20000103	19801223
20000103	19740123
20000103	19821225
20000103	19561211
20000103	19780106
20000103	19571220
20000104	20061213
20000104	19740124
20000104	19801213
20000104	19900116
20000104	19990118
20000104	19620120
20000104	19801223
20000104	19801224
20000104	19721210
20000104	19760107
20000104	19910104
20000104	19840116
20000104	19750125
20000104	20060111
20000104	19900115
20000104	19981217
20000104	20070114
20000104	19711224
20000104	19480113
20000104	19650113
20000105	20070107
20000105	19981217
20000105	20050111
20000105	19990120
20000105	19740123
20000105	19620109
20000105	19801213
20000105	19801214
20000105	19610129
20000105	19990119
20000105	20031226
20000105	19620108
20000105	19740124
20000105	20020120
20000105	20070106
20000105	19971210
20000105	19510108
20000105	19901230
20000105	19971207
20000105	19901231
20000106	20060111
20000106	19981224
20000106	19721210
20000106	19981225
20000106	19890112
20000106	19740124
20000106	19570127
20000106	19900115
20000106	19740125
20000106	19910101
20000106	19930120
20000106	19900120
20000106	19981226
20000106	19930109
20000106	19511223
20000106	19990118
20000106	19760119
20000106	19910104
20000106	19721211
20000106	19511218
20000107	20131221
20000107	19750122
20000107	19901229
20000107	19830106
20000107	19981226
20000107	19901230
20000107	19561212
20000107	20061211
20000107	19830105
20000107	19511224
20000107	20131222
20000107	19650113
20000107	19981225
20000107	19561213
20000107	19571220
20000107	19910102
20000107	19561214
20000107	19570120
20000107	19901226
20000107	19481229
20000108	19890204
20000108	19830107
20000108	19940122
20000108	19481229
20000108	20041216
20000108	19731227
20000108	19650114
20000108	19911218
20000108	19640130
20000108	20061211
20000108	19620204
20000108	20050101
20000108	19640129
20000108	19930108
20000108	19830106
20000108	20050107
20000108	20041215
20000108	19520109
20000108	20050118
20000108	19890206
20000109	19731227
20000109	20041215
20000109	19830108
20000109	20041231
20000109	19731228
20000109	20110131
20000109	19731226
20000109	19870204
20000109	19890202
20000109	19890207
20000109	19930106
20000109	19750101
20000109	20150101
20000109	19890128
20000109	20060111
20000109	20111224
20000109	19890205
20000109	20020115
20000109	20110201
20000109	19511223
20000110	19511221
20000110	19900109
20000110	19520107
20000110	19511222
20000110	19631229
20000110	19571226
20000110	19771214
20000110	19560104
20000110	20071224
20000110	19780106
20000110	19941224
20000110	19620209
20000110	20071223
20000110	19721222
20000110	19481228
20000110	19740123
20000110	19930202
20000110	19821225
20000110	20120118
20000110	19890119
